camera,frame,id,fbr_x_3d,fbr_y_3d,fbl_x_3d,fbl_y_3d,ftl_x_3d,ftl_y_3d,ftr_x_3d,ftr_y_3d,bbr_x_3d,bbr_y_3d,bbl_x_3d,bbl_y_3d,btl_x_3d,btl_y_3d,btr_x_3d,btr_y_3d,x_tl_2d,y_tl_2d,x_tr_2d,y_tr_2d,x_bl_2d,y_bl_2d,x_br_2d,y_br_2d,x_center,y_center,average_speed_5_frames
p2c6,1,31,718.0883221892951,653.0835573185431,754.1013941732136,669.8774804316724,752.5737166075436,640.0712809620633,716.0511880799252,623.4683446211139,805.7496739211399,596.8734326189449,840.5871579046426,611.7836182870121,840.3715802448836,583.1634237634318,805.0564968486814,568.4412652793353,754.0,556.0,871.0,556.0,754.0,642.0,871.0,642.0,812.0,599.0,71.40443249098821
p2c6,1,21,1613.719824900237,410.96466743576696,1579.3455764238831,403.1077137647922,1586.2369365872862,381.6252088866263,1621.0203697104516,389.3147361598102,1592.3503109243006,439.2451077031352,1556.69186299364,430.71060298904274,1563.667808088278,408.5361646031949,1599.7680098116784,416.8942572291327,1526.0,406.0,1602.0,406.0,1526.0,457.0,1602.0,457.0,1564.0,431.0,63.79143933162097
p2c6,2,30,927.2658873634148,465.9657805403841,957.242757202942,476.7297119503789,958.5068903909884,449.494023794479,928.145663845953,438.90514569042193,987.4261956794747,430.1992310505518,1016.4398329593386,440.0040591255747,1018.3344973463286,413.8113248017476,988.96162600357,404.1722062325319,945.0,399.0,1036.0,399.0,945.0,463.0,1036.0,463.0,990.0,431.0,64.45204945781732
p2c6,2,21,1617.2727794492969,406.1688688702236,1583.1192447873434,398.4240587792679,1589.9937051550332,377.0611731630988,1624.550967606395,384.64011976372194,1596.2327640092524,434.00905502283047,1560.8111366711123,425.6020561680693,1567.7721667214528,403.55389551509376,1603.6294442521207,411.7861128850997,1530.0,403.0,1601.0,403.0,1530.0,451.0,1601.0,451.0,1565.0,427.0,61.29241872744047
p2c6,3,21,1620.9618661148925,401.1850309746665,1587.0384076557098,393.55591968258415,1593.8947005347395,372.3180590445519,1628.2162409378327,379.7829422999972,1600.261292795849,428.5715242544977,1565.0864387537656,420.2959366813205,1572.031262796054,398.3797638015035,1607.635456285884,406.4822792156644,1538.0,398.0,1606.0,398.0,1538.0,444.0,1606.0,444.0,1572.0,421.0,61.54743155020346
p2c6,4,20,1460.3985035450148,409.7887739739603,1428.6048072207573,402.1563386578133,1433.3865572790098,383.31807460028864,1465.5012583044124,390.8078028655792,1434.1335756890596,436.0037657345014,1401.3187904383456,427.7609129323786,1406.062829202936,408.3587927984841,1439.2207291933505,416.451820639125,1381.0,403.0,1449.0,403.0,1381.0,450.0,1449.0,450.0,1415.0,426.0,74.29218627494652
p2c6,4,21,1625.7645096107674,394.68119962876006,1592.142445890235,387.20178086776986,1598.974044071934,366.1281679122384,1632.9868596625909,373.44550942602575,1605.5020540086805,421.48149126242106,1570.6503240627512,413.3757175988905,1577.5728552872342,391.6329419239028,1612.8457378507787,399.5678957661517,1541.0,389.0,1610.0,389.0,1541.0,436.0,1610.0,436.0,1575.0,412.0,66.78007801484247
p2c6,5,31,641.1747175228114,701.2427363991266,678.0394593038893,719.7419197990084,675.2172412775734,689.0037186663367,637.8209129507333,670.6942768256638,738.6890564726092,638.7942545612416,774.3993894725427,655.1008955671828,773.1967431254776,625.5817623656521,736.9851468937761,609.4658397702983,678.0,593.0,810.0,593.0,678.0,689.0,810.0,689.0,744.0,641.0,70.64363509626938
p2c6,5,20,1465.7555247627483,404.22112800998,1434.1839817813864,396.7152991558397,1438.9695363220003,377.9989361836131,1470.857391099348,385.3636054617085,1439.9558078566204,429.9626344452949,1407.3764523771003,421.8624358967832,1412.1289252427414,402.5885204957422,1445.0462366839165,410.540504411958,1391.0,399.0,1453.0,399.0,1391.0,442.0,1453.0,442.0,1422.0,420.0,73.01206319042761
p2c6,5,21,1629.1987569216788,390.0217373858717,1595.7934004149802,382.6486613789554,1602.606636038609,361.6934801244756,1636.3975199424085,368.9060308452586,1609.2468848784977,416.4061370373031,1574.6273841309533,408.4208572905436,1581.5331669237144,386.8031103500151,1616.5679897078892,394.61919840520034,1547.0,381.0,1617.0,381.0,1547.0,429.0,1617.0,429.0,1582.0,405.0,65.45609931873256
