camera,frame,id,fbr_x_3d,fbr_y_3d,fbl_x_3d,fbl_y_3d,ftl_x_3d,ftl_y_3d,ftr_x_3d,ftr_y_3d,bbr_x_3d,bbr_y_3d,bbl_x_3d,bbl_y_3d,btl_x_3d,btl_y_3d,btr_x_3d,btr_y_3d,x_tl_2d,y_tl_2d,x_tr_2d,y_tr_2d,x_bl_2d,y_bl_2d,x_br_2d,y_br_2d,x_center,y_center,average_speed_5_frames
p2c4,3,35,291.0011712985322,319.7555087560731,275.221067321012,349.6996855131071,262.57522402898474,323.3263585773652,278.95425899216747,293.5028084487256,404.5157951031991,318.8143569050798,391.6111778343927,348.68312255918454,381.1269579076465,322.3375688178737,394.524082498438,292.58988219386606,333.0,308.0,465.0,308.0,333.0,348.0,465.0,348.0,399.0,328.0,73.46115963744124
p2c4,5,35,224.14573325166683,319.71467393335246,206.6763634843489,349.67307352425445,192.76117489212547,323.28557769587894,210.89181925497093,293.4479640643039,337.8295237485092,318.7731242676309,323.24427280732885,348.65603981589766,311.4973337186285,322.2963478763203,326.6369547577393,292.5346711864494,270.0,310.0,401.0,310.0,270.0,349.0,401.0,349.0,335.0,329.0,77.55986485029703
p2c4,6,35,195.47179909706185,319.6973701094508,177.27738461785796,349.66188025929983,162.81736707641534,323.26830636358426,181.6998341432204,293.4246504012384,309.22819843315403,318.755649324927,293.92161008328065,348.64464409348244,281.63268793563725,322.27888725342217,297.52021774030266,292.5111997860424,240.0,309.0,373.0,309.0,240.0,349.0,373.0,349.0,306.0,329.0,76.53488402282176
p2c4,7,35,157.22283574310933,319.6738068061485,138.06078114407916,349.64644336872,122.87362317210685,323.24476319808605,142.7594860796253,293.39307222073825,271.0760764441346,318.7318589715094,254.8067946551081,348.62893844301306,241.7945294695835,322.2550929065014,258.6802326014613,292.47941241733844,204.0,309.0,337.0,309.0,204.0,349.0,337.0,349.0,270.0,329.0,81.31672707405167
p2c4,8,35,128.52083978535697,319.6557861541648,108.63230669790484,349.6345034163432,92.89921964338228,323.2267412892764,113.53841897357474,293.3690384712698,242.446742059684,318.71366879437164,225.4546949275157,348.6167977321116,211.89935118638303,322.23688344076345,229.53447045771543,292.4552225550209,172.0,310.0,304.0,310.0,172.0,350.0,304.0,350.0,238.0,330.0,81.31642083710979
p2c4,9,35,99.80981420274009,319.633132398416,79.1943405826691,349.6176970349717,62.91497293745695,323.2038675927656,84.30799638499323,293.3403896396858,213.80798227329555,318.6908569231854,196.09268870133545,348.599802979705,181.99390031968267,322.2138346701163,200.37894347497112,292.4264290881645,142.0,310.0,273.0,310.0,142.0,350.0,273.0,350.0,207.0,330.0,76.53406969619456
p2c4,10,35,61.50696685674944,319.6091454272573,39.92109859391757,349.60182749254443,22.91247625029396,323.1798808188652,45.31180375503081,293.30837736290295,175.6021669770279,318.66664360789053,156.92144120203434,348.58366538182986,142.09720790451598,322.1895974680349,161.4833156269497,292.3942083761062,109.0,310.0,240.0,310.0,109.0,350.0,240.0,350.0,174.0,330.0,81.31588315125015
p2c4,11,35,32.7645842686187,319.59078720551656,10.450172179110304,349.589542208458,-7.105964547691077,323.1615054303122,16.04888000126726,293.2839983067284,146.93258705531218,318.6481164403965,127.52704232299324,348.5711799218423,112.1581543888336,322.1710351421917,132.29584624003894,292.3696738219849,77.0,311.0,207.0,311.0,77.0,351.0,207.0,351.0,142.0,331.0,81.31564825076195
p2c4,22,32,1246.3444486265585,311.9337691689198,1254.7659881964807,342.3666152014847,1260.7856541421145,312.76579949863185,1252.041454695111,282.480138972618,1354.1736738691538,311.0395940400626,1365.349203627988,341.3987316368871,1373.6284952617575,311.8284289773678,1362.0180692226645,281.616928158723,1280.0,304.0,1401.0,304.0,1280.0,342.0,1401.0,342.0,1340.0,323.0,52.39172798198435
p2c4,23,32,1215.5671106157686,312.0350290321995,1223.1998707318548,342.48089568095185,1228.5723704381917,312.8720909615996,1220.649204037124,282.5734033093835,1323.4823186203405,311.1403913170989,1333.8735338547183,341.5124907431595,1341.50940625655,311.93421260354404,1330.7152716558912,281.70974444038444,1255.0,303.0,1379.0,303.0,1255.0,343.0,1379.0,343.0,1317.0,323.0,56.065449354679096
p2c4,24,32,1192.4695956047078,312.1086729380484,1199.5100290612706,342.56418992459646,1204.3965333708552,312.94940137396844,1197.0899295311335,282.6410603067017,1300.4491387204628,311.2136935914545,1310.2513697379145,341.5953997166471,1317.404051838342,312.0111479459424,1307.2229301325372,281.7770707387232,1247.0,303.0,1371.0,303.0,1247.0,343.0,1371.0,343.0,1309.0,323.0,51.77042287465472
