camera,frame,id,fbr_x_3d,fbr_y_3d,fbl_x_3d,fbl_y_3d,ftl_x_3d,ftl_y_3d,ftr_x_3d,ftr_y_3d,bbr_x_3d,bbr_y_3d,bbl_x_3d,bbl_y_3d,btl_x_3d,btl_y_3d,btr_x_3d,btr_y_3d,x_tl_2d,y_tl_2d,x_tr_2d,y_tr_2d,x_bl_2d,y_bl_2d,x_br_2d,y_br_2d,x_center,y_center,average_speed_5_frames
p1c6,1,2,15.03374642230549,826.9744867556365,81.81425015981861,841.2761684218482,48.61146761889211,710.27348248746,-20.548379834211403,696.7175108447508,450.9627906003793,540.7437478228495,505.57583233883344,549.5716696317389,493.5533431180816,440.7246833976823,437.3384895748532,432.4643662190181,8,607,217,607,8,827,217,827,112,717,0.0
p1c6,1,74,239.21396801152315,975.8743807851477,297.86094650542606,989.277468370728,289.7542082995902,947.6481561761888,230.3791735086619,934.4128697732386,352.5111869723657,881.4307609342351,408.0377991595447,893.1835506887725,401.8955319778296,853.2070448589174,345.71487631520154,841.6184817655866,258,837,426,837,258,1001,426,1001,342,919,14.240968085070197
p1c6,2,2,15.03374642230549,826.9744867556365,81.81425015981861,841.2761684218482,48.61146761889211,710.27348248746,-20.548379834211403,696.7175108447508,450.9627906003793,540.7437478228495,505.57583233883344,549.5716696317389,493.5533431180816,440.7246833976823,437.3384895748532,432.4643662190181,7,607,215,607,7,827,215,827,111,717,0.0
p1c6,2,74,233.423201134634,980.569186988252,292.2208648971739,994.0571856844562,284.00872387509986,952.3501586872312,224.47935338266967,939.0300327433,347.4696132824831,885.5100358663431,403.1325713946293,897.3318912591856,396.9079022534416,857.280285092146,340.5877380741792,845.6228921104683,250,842,419,842,250,1007,419,1007,334,924,14.230769353266336
p1c6,3,2,15.025166933153772,826.9801200428703,81.80589129555332,841.2819224080833,48.60260748312173,710.2788500176658,-20.557475686050136,696.7227601925961,450.9577009897092,540.7470896580459,505.5708959393096,549.5750676980323,493.54820882416817,440.7277937876785,437.3331930927426,432.4674228955611,6,607,214,607,6,826,214,826,110,716,0.0068000000006122
p1c6,3,74,227.58503409249312,985.3023683495568,286.53429273597453,998.8762447630731,278.215339242244,957.0913061161368,218.53069438363733,943.685363773062,342.3890959110236,889.6207709247813,398.1892083229041,901.5124298889974,391.8810897660866,861.3854728767428,335.4205835313747,849.6585068953434,243,846,414,846,243,1012,414,1012,328,929,14.23416893053429
p1c6,3,162,143.98884250272903,832.8514254183419,201.4685858588188,844.980714455392,190.451081426056,794.0157717146259,132.15145845706462,782.120447539487,274.19805972682747,740.6880221303398,328.4135005475829,751.2086306778906,320.1040080796202,702.6941236269378,265.1569120732404,692.3946451113574,158,701,322,701,158,829,322,829,240,765,10.227261023546914
p1c6,4,2,15.025166933153772,826.9801200428703,81.80589129555332,841.2819224080833,48.60260748312173,710.2788500176658,-20.557475686050136,696.7227601925961,450.9577009897092,540.7470896580459,505.5708959393096,549.5750676980323,493.54820882416817,440.7277937876785,437.3331930927426,432.4674228955611,4,607,212,607,4,826,212,826,108,716,0.0051000000004592
p1c6,4,74,219.75115732886047,991.6602315829429,278.90359980647185,1005.3498923592296,270.4404216060115,963.4609975025452,210.54765008178583,949.9393358537408,335.5760304375223,895.1395690045246,391.5599467201736,907.1252639732984,385.1392460916791,866.8976706080049,328.4906538067306,855.0769669923912,239,850,408,850,239,1015,408,1015,323,932,15.4191640868124
p1c6,4,162,138.82019395143038,836.5150883355672,196.4265440400613,848.7106940475284,185.29507632486727,797.652772355744,126.86534991063766,785.6915521353596,269.7640759105216,743.8312948972771,324.09344853881976,754.4048786540526,315.69681914747224,705.8032885168942,260.6327776737151,695.4513392428132,150,699,323,699,150,833,323,833,236,766,11.077261037087077
